,Customer_name,Rating,Review_Title,Review
0,Rafiq Irfan,4,Good location and helpful staff,"Very convenient location where you can find food and cinema nearby. Also not too far from other hotspot locations in Singapore.  Staff very helpful when you need some assistance. I have also accidentally left a valuable item upon checkout and the staff Mr Chester is very helpful in assisting me.  However, I wish the breakfast can be served slightly earlier as the time I had to leave for work and the breakfast is at the same time."
1,fmoulsen,5,Thank you IHG EXPRESS Orchard,I enjoyed my 10days stay at this hotel. Had small bumps on payment issue and the front desk staffs are really helpful and being so patience keeping up with me and my issues.  10/10 to the team esp. NAQIAH.  Breakfast was good too. Chef Ram did well serving us a very good breakfast with various options to choose for.
2,Fau,1,"Inferior Product, Low  Value for Money Hotel","The small sister from Holiday Inn did not look like the big sister at all. Quite disappointed to be honest. I dont even know why they got the SG Clean label whereas it was totally different than what i found.   First impression was the room was dirty, the main switch light had blood splattered, got hair stuck in between towels, lipstick mark on the coffee mug, stain marks on the bed sheet, room was heavy with dust, and worst of all?   Promise not kept. I rang the hotel before booking if the hotel is willing to put plywood board underneath the mattress (normally to give more support), the receptionist said YES. i put this condition in writing too at the time of booking, and when i checked in at the hotel, receptionist also said YES. I kept asking for it, after a week of keep…"
3,Itravel0ne,4,Convenient and good stay,"The location is great and centrally located. Easy access to the malls and eateries along Orchard road. Room is well design as typical of the HIE. Staff are friendly and can’t fault any of the service except that the phone and safebox in the room was not working when we checked in. But it was fixed after it was reported. Breakfast is good and sufficient. Timing of breakfast is crucial as you may not find seats at certain hours. Overall, it was a great stay."
4,Mystery,2,Need to improve,"Stay there for staycation 3 day 2 nights. The check in was fast however the front desk never brief us in detail about the facilities.  1 of the day our room was not clean,when we call the frontdesk they say is 3 day once. I paid 1 night $200+ and the hotel clean every 3 day.The manangement need to change this procedure.  "
5,Elizabeth L,2,First hotel I have stayed at that I had to make my own bed,Apparently due to covid housekeeping now only takes care of your room once every 3 days. We were told that we needed to ring reception to get on the housekeeping list so don't bother to hang the housekeeping required on the door. Very disappointing when you are an elderly couple No complaints about staff. Very helpful Breakfast was good but we will not be returning
6,alexserapio,5,Hospitable Staff,Very accommodating front desk staff-Mika and Gerald. Warm welcome from Sales-Ms. Su Han and Karen. Sumptuous Asian breakfast from Chef Ram and mainstay Wang. Very clean room and prompt service form housekeeping staff Kelly. I will definitely recommend this hotel to my friends and relatives.
7,Sundari,5,Duty Manager Naqiah& Nabila staff is friendly and helpful.,"im so happy i stay here with my family, Naqiah & Nabila staff is helpful and friendly, the breakfast was good and the enviroment clean and convient to mount elizabeth hospital and shopping malls.  i would love to come again to stay."
8,Entrepreneur,5,"Brilliant hotel, great people and second home!","If there is one hotel which one can come close to calling home its HolidayInn Express Orchard Road ,SG! The leadership of the manager in charge SuHan is commendable and the team to back the execution. When it comes to guests there is nothing that cannot be solved, whether food, or a cab or just help in moving around. The location is simply the icing on the cake. Clean, Comfortable and Value for the experience!"
9,Joel Cruz,4,Friendly & warm staff  & you feel at home!,"Location of this hotel is perfect if you love to shop whether high end or not. Situated near Orchard road, walking distance to restaurants, shops, hospital, convenient stores. Staff are very accommodating to the extend that they offer free bottled water to guests. Free breakfast from 6:30-10:30am and you can have it take away if you wish. Unfortunately, there is no swimming pool, no bath tub in case that’s your requirement. I was not able  to check if there is a fitness room. Over all, we enjoyed our stay in this hotel and all staff show their smile while entertaining us. We will definitely patronize this hotel again. Thank you so much Holiday Inn Express!"
