,Customer_name,Rating,Review_Title,Review
0,christinegH9310JS,4,Disappointed with service and staff,"My daughter and I stayed at the hotel with our 16 lb. mini schnauzer August 16-18.  On the 18th, I was trying to use the self check out kiosk in the lobby to purchase some food, and had trouble with the scanner.  The three people working at check in desk offered no assistance.  Then suddenly a man came in with two pitbulls that were definitely over the 50 lb. weight limit in the dog policy.  Our dog and the pitbulls were barking at each other, and the man was struggling to control his dogs.  He dropped one of their leashes and the dog ran over to me, and jumped on me.  The dog continued to bark and act aggressively.  I screamed and picked up my dog.  No-one working at the front desk offered any assistance.  My dog was attacked six months earlier by a pit bull and had to get…"
1,Asma,5,Amszing experience,Hotel staff is amazing. Especially Juan who really has customer's consideration in his heart. Juan has been always smiling and trying to help us put throughout our stay at Indigo.  Looking forward to our ne t stay in this amazing hotel
2,Gwen R,5,Great stay and very accommodating!,Loved the staff! Juan was especially helpful with my baggage and sharing updates about the heatwave! What a great group of people that make your stay extra special! The lobby is so cute and I can’t wait to grab a drink in the bar!
3,Josh B,5,LA business meeting,Had to come for a business meeting here and loved the roof top! I enjoyed meeting and was really impressed by the professionalism of Juan S. Who really was such a help and friendly during my visit! Great vibes all around and will definitely be back again
4,Jenny W,5,Wonderful spacious rooms and valet / front desk service,I love the hotel indigo. The style of the hotel is relaxing and the aesthetic is simply stunning. Everyone was wonderful to work with and we even had some special needs that they helped us take care of. Valet is amazing… Jonathan was so helpful every day that I saw him there… Not only helping us but others. Neph (i’m not sure how her name is spelled but she was A doll and so helpful ) and Alex at the front desk along with everyone else is great… And the room service was absolutely spectacular. How to gorgeous room but the most amazing bathroom… And a spectacular view. Jenny
5,Alan H,1,Could have been great,"Objectively this is a very nice hotel but, bizarrely, they checked us out of our room and checked another couple in at 9am. (Who checks anyone into a hotel room at 9am).  So, this poor couple blasted through our ‘Do Not Disturb’ sign and woke us up! Hardly ideal. We then had to go and explain ourselves at the front desk as they couldn’t sort it out over the phone.  We were given some really random excuse that someone else (on the night staff) had mistakenly checked us out. They apologised at this point and offered us a $100 credit on our room. We had some breakfast that came to $50 but they still charged us the $44 for valet parking which didn’t seem to make any sense at that point.  Anyway, it was otherwise fine but this has never happened before to us so I feel we should…"
6,Tracy D,5,Juan went above and beyond!,"Juan was an incredible support for us getting ready for all of our guests. He was friendly, fast, and incredibly accommodating. One of the best hospitality experiences we have had in a while. Thanks Hotel Indigo!"
7,325duncans,5,Comfortable well located hotel,Hotel Indigo in DTLA is a lovely hotel - we had a warm welcome at check in and the staff were great throughout our four night stay.  I had dropped an email ahead of arrival and our requests had been taken into account which was brilliant.  Reception and bar area are fun and quirky; the rooms are spacious with well appointed bathrooms; and the rooftop pool was great.  The bar and restaurant are expensive - but to be honest no more so than the other hotels we stayed on our trip to California.  We had breakfast a couple of times and the food was excellent and presented really well.  Only negative was the pool bar only opening at the weekend - so on the Monday it was not easy to grab a drink when around the pool area.  The rooms were very comfortable and clean; we all slept well in…
8,Jojolapin,4,Very good hotel,"The hotel is super clean and the rooms too, everthing is modern. There is 24-hour security. The staff are friendly. Beds are comfortable, there is a good size fridge in the room and free coffee and tea. The seating area is small. The bathroom has a nice Italian shower, there is no bath. As was reported in the papers there are homeless everywhere in Los Angeles, even in the posh neighbourhoods. The street of the hotel is clear and clean, maybe because of the security. 20 min walk to the subway, 7th Street. The gym is well equipped and nice, there is lots of light. The pool area on the 4th floor is very comfortable with private access to cosy corners and plenty of sunbeds. Towels are provided. There are other areas that can be lit up with artificial fireplaces at night."
9,deel330,4,"Beautiful Hotel, Rip off for Drinks","This hotel is beautiful. The rooms are lovely, the place is very clean and the rooftop pool is amazing.  The downside is that this probably isn't the best location for a holiday base. It is near the metro and a reasonable sized shopping centre but I didn't feel very safe. The foodcourt at the shopping centre opens at 11am and closes at 7pm on weekends. Not ideal for a family backpacking probably more suited to couples.  There was no requirement to show my key or to use it to operate the elevators.  Staff weren't friendly. they weren't unfriendly either. Just completely disinterested.  The price of snacks in the lobby is scandalous. Ditto the rooftop terrace where you are not allowed to bring your own drink or food. I bought a bottle of water and two cokes from the rooftop bar,…"
10,Alan H,1,Could have been great,"Objectively this is a very nice hotel but, bizarrely, they checked us out of our room and checked another couple in at 9am. (Who checks anyone into a hotel room at 9am).  So, this poor couple blasted through our ‘Do Not Disturb’ sign and woke us up! Hardly ideal. We then had to go and explain ourselves at the front desk as they couldn’t sort it out over the phone.  We were given some really random excuse that someone else (on the night staff) had mistakenly checked us out. They apologised at this point and offered us a $100 credit on our room. We had some breakfast that came to $50 but they still charged us the $44 for valet parking which didn’t seem to make any sense at that point.  Anyway, it was otherwise fine but this has never happened before to us so I feel we should…"
11,Tracy D,5,Juan went above and beyond!,"Juan was an incredible support for us getting ready for all of our guests. He was friendly, fast, and incredibly accommodating. One of the best hospitality experiences we have had in a while. Thanks Hotel Indigo!"
12,325duncans,5,Comfortable well located hotel,Hotel Indigo in DTLA is a lovely hotel - we had a warm welcome at check in and the staff were great throughout our four night stay.  I had dropped an email ahead of arrival and our requests had been taken into account which was brilliant.  Reception and bar area are fun and quirky; the rooms are spacious with well appointed bathrooms; and the rooftop pool was great.  The bar and restaurant are expensive - but to be honest no more so than the other hotels we stayed on our trip to California.  We had breakfast a couple of times and the food was excellent and presented really well.  Only negative was the pool bar only opening at the weekend - so on the Monday it was not easy to grab a drink when around the pool area.  The rooms were very comfortable and clean; we all slept well in…
13,Jojolapin,4,Very good hotel,"The hotel is super clean and the rooms too, everthing is modern. There is 24-hour security. The staff are friendly. Beds are comfortable, there is a good size fridge in the room and free coffee and tea. The seating area is small. The bathroom has a nice Italian shower, there is no bath. As was reported in the papers there are homeless everywhere in Los Angeles, even in the posh neighbourhoods. The street of the hotel is clear and clean, maybe because of the security. 20 min walk to the subway, 7th Street. The gym is well equipped and nice, there is lots of light. The pool area on the 4th floor is very comfortable with private access to cosy corners and plenty of sunbeds. Towels are provided. There are other areas that can be lit up with artificial fireplaces at night."
14,deel330,4,"Beautiful Hotel, Rip off for Drinks","This hotel is beautiful. The rooms are lovely, the place is very clean and the rooftop pool is amazing.  The downside is that this probably isn't the best location for a holiday base. It is near the metro and a reasonable sized shopping centre but I didn't feel very safe. The foodcourt at the shopping centre opens at 11am and closes at 7pm on weekends. Not ideal for a family backpacking probably more suited to couples.  There was no requirement to show my key or to use it to operate the elevators.  Staff weren't friendly. they weren't unfriendly either. Just completely disinterested.  The price of snacks in the lobby is scandalous. Ditto the rooftop terrace where you are not allowed to bring your own drink or food. I bought a bottle of water and two cokes from the rooftop bar,…"
15,mariechristine4077,5,Great DTLA hotel,"Nice hotel, large bathrooms, fun decor in the rooms and the lobby.  Did have some scrapes and marks on the floors, beds, etc, but overall a very nice hotel with a great location.  Valet was always fast and friendly."
16,萱 李,5,The LA indigo valet,The LA indigo valet is very friendly and kind! I felt so welcome when I first arrived! The best valet is the best in the LA city. The best  is Juan who look after me! Thank you so much Juan! Hope your kindness bring your the best.
17,Kishan P,5,Best bartenders in the country!,"If you don’t stop by here to get a drink with the best bartenders in the country then you are crazy. Pull up relax and chill! 10/10 review ask for Viet and Jordan! They are they best. They made our stay enjoyable! Don’t forget to stop by and talk to camila, she cool as he**!!"
18,ramby,5,The best hotel in LA!,"Always a treat staying at indigo downtown. The front desk was very efficient with Monique. Of course, my favorite as always is Ruben who handled my every request with promptness and courtesy. Breakfast was also delicious at the lobby. I will always stay here at this hotel."
19,Joyce261,4,Good modern hotel,"Well placed and modern hotel.  Large bedrooms with good sized beds and really comfortable pillows! Plenty of extras, coffee, toiletries.  We changed rooms as our first one smelled badly of weed.  No problem with reception staff.  Good secure underground car park.  Well placed and within walking distance of shops, restaurants and subway."
20,mariechristine4077,5,Great DTLA hotel,"Nice hotel, large bathrooms, fun decor in the rooms and the lobby.  Did have some scrapes and marks on the floors, beds, etc, but overall a very nice hotel with a great location.  Valet was always fast and friendly."
21,萱 李,5,The LA indigo valet,The LA indigo valet is very friendly and kind! I felt so welcome when I first arrived! The best valet is the best in the LA city. The best  is Juan who look after me! Thank you so much Juan! Hope your kindness bring your the best.
22,Kishan P,5,Best bartenders in the country!,"If you don’t stop by here to get a drink with the best bartenders in the country then you are crazy. Pull up relax and chill! 10/10 review ask for Viet and Jordan! They are they best. They made our stay enjoyable! Don’t forget to stop by and talk to camila, she cool as he**!!"
23,ramby,5,The best hotel in LA!,"Always a treat staying at indigo downtown. The front desk was very efficient with Monique. Of course, my favorite as always is Ruben who handled my every request with promptness and courtesy. Breakfast was also delicious at the lobby. I will always stay here at this hotel."
24,Joyce261,4,Good modern hotel,"Well placed and modern hotel.  Large bedrooms with good sized beds and really comfortable pillows! Plenty of extras, coffee, toiletries.  We changed rooms as our first one smelled badly of weed.  No problem with reception staff.  Good secure underground car park.  Well placed and within walking distance of shops, restaurants and subway."
25,Lizz,5,Great stay,"My spouse and I had a wonderful time at hotel indigo. Everyone who helped us was so wonderful and kind. Thank you to Juan, Angel, Christian, Monique, and Dante for all your help and service. There were many more who helped us! Everyone was great! Thank you for a wonderful weekend. We will definitely be coming back to hotel indigo."
