,Customer_name,Rating,Review_Title,Review
0,d g,2,Great location but that's about it,"Pokey rooms, one working lift for 38 floors, ~15 minute queues for elevator. A lot of money for over filled lifts and an average at best stay. We had thought this would be a good candidate for our upcoming reunion. With no good way to get to and from the rooms, it clearly is not on the list."
1,Sina,1,The worst stay ever,"I booked this hotel through Booking.com. I filtered for 4-star hotels and this property showed up. However, when I got there, I realized that the hotel is 3-STAR. I contacted the property manager and he also confirm that the hotel is 3-star. Here is his reply ""We are actually a 3-star hotel, We are rated as a 4- star hotel due to guest reviews!""  The hotel room is old and dirty, with a tiny bathroom, no safe box in the room and they do not provide breakfast. The air conditioner was making a shrieking noise. So, be aware that the hotel is actually WORSE than a 3-star hotel.   I contacted booking.com and they said they are not responsible for the star rating. Property managers also ignored my messages, and simply ruined my honeymoon. Please see the photo that I posted with this…"
2,Rob M,3,Parking will cost you.,"Price was fantastic. Room was basic. There was a pull out couch that turned into a bed. Great views from the front, but really no views from the back of the hotel. Parking is a pain. You have to walk a few blocks and pay $55 a night. Not the worst option, but keep in mind it is downtown. Staff was friendly and helpful. "
3,Emmanuel R,4,Well located in the loop,"I went there for a business trip. The hotel is clean, ideally located in the loop along the river. Everything is reachable by walk. My room was a little bit too small with a small window. At that time the breakfast was served in the room but was quite good."
4,Adam F,4,"Great Location, Decent Hotel","The location of the hotel is perfect, easily within walking distance of public transportation for attractions and airport connection. The simple offerings of the hotel are just as advertised, however the elevators are confusing and a hassle.   Only one of the elevators for Floors 12 and above was working during my stay, and this often meant 5 minute waits to go up or down  Otherwise the stay was perfect and the view from the 30+ floors Is great"
5,rktrump,5,Will absolutely stay here again,"I would absolutely stay here again. I sprung for a room with a view of the river. That means I paid more for this hotel than I typically like to for a place where I just need to lay my head. But it turns out it was totally worth it.   The view was downright amazing - and so peaceful to look at before heading to bed each night. My 9-year-old son particularly loved this routine.   And, the location is great. I may have planned to be out all day, but with this awesome central location, I could pop by the hotel if I needed to in the middle of our adventures.  Hardly needed the staff, to be honest. But the couple times I did need something (extra pillows and blankets), they came straight to my room.  I read some other reviews that made me think the room would be tiny. It wasn't at…"
6,Andrea L,1,Horrendous,"We were so excited to find such a seemingly nice hotel bailable for a “last minute” booking.  We called to insure an early check-in due to our flight arrival being in the morning. We were told we could check in at 11:00. At 11:00 we were told 1:00, then at 1:00 we were told 3:00.  We got to the hotel at 2:30 and were told that a room was available and it was an “upgrade”.  We paid for a king room with room for a fold out or pack-n-play. The room we were given (704) was extremely tiny, no room for any additional bed, and the window was smaller than a jail cell.  Attaching a photo of our “upgraded king bed”, that was 2 twin beds pushed together.  There was no breakfast available, the water machine on the floor didn’t work, and we weren’t provided any of the requests we asked for. …"
7,manuh620,4,Location is great,The hotel is very well situated for a trip to Chicago. Breakfast included shouldn’t be booked. It is not worth it. It is a hassel with the vouchers (usd 25) and fairly expensive for the choice and service you get.
8,Me_n_my_rucksack,5,"Exactly what we wanted....  perfect location, clean comfortable and friendly hotel.","When visiting a City you are unfamilliar with it can be hard to trade off price against quality when you know very little about the neighbourhoods etc...  we struck very lucky with the Riverside as the price was very reasonable and the location perfect.  A 5 or 10 min stroll from Clark on the Blue CTA line the Riverside is located (as the name implies) on the riverside - when you walk out of the front door the view is a real wow....  its within walking distance everything downtown.  The location really is spot on.    Check in is supposedly carried out via terminals in the lobby, but one of the friendly folks went through it with us.  The Building is historic - with a genuine historic feel to it in the entranceway -  which could mean dated I guess  - but there is absolutley…"
9,susan,4,"Excellent location, comfortable stay","River Hotel is in an excellent location for downtown and all its attractions. Our room was quiet, clean and comfortable. We appreciated the free laundry, the gym and the club room for relaxing during the day. The only thing that could have been improved was the room decor which was dated and a bit gloomy. "
10,rktrump,5,Will absolutely stay here again,"I would absolutely stay here again. I sprung for a room with a view of the river. That means I paid more for this hotel than I typically like to for a place where I just need to lay my head. But it turns out it was totally worth it.   The view was downright amazing - and so peaceful to look at before heading to bed each night. My 9-year-old son particularly loved this routine.   And, the location is great. I may have planned to be out all day, but with this awesome central location, I could pop by the hotel if I needed to in the middle of our adventures.  Hardly needed the staff, to be honest. But the couple times I did need something (extra pillows and blankets), they came straight to my room.  I read some other reviews that made me think the room would be tiny. It wasn't at…"
11,Andrea L,1,Horrendous,"We were so excited to find such a seemingly nice hotel bailable for a “last minute” booking.  We called to insure an early check-in due to our flight arrival being in the morning. We were told we could check in at 11:00. At 11:00 we were told 1:00, then at 1:00 we were told 3:00.  We got to the hotel at 2:30 and were told that a room was available and it was an “upgrade”.  We paid for a king room with room for a fold out or pack-n-play. The room we were given (704) was extremely tiny, no room for any additional bed, and the window was smaller than a jail cell.  Attaching a photo of our “upgraded king bed”, that was 2 twin beds pushed together.  There was no breakfast available, the water machine on the floor didn’t work, and we weren’t provided any of the requests we asked for. …"
12,manuh620,4,Location is great,The hotel is very well situated for a trip to Chicago. Breakfast included shouldn’t be booked. It is not worth it. It is a hassel with the vouchers (usd 25) and fairly expensive for the choice and service you get.
13,Me_n_my_rucksack,5,"Exactly what we wanted....  perfect location, clean comfortable and friendly hotel.","When visiting a City you are unfamilliar with it can be hard to trade off price against quality when you know very little about the neighbourhoods etc...  we struck very lucky with the Riverside as the price was very reasonable and the location perfect.  A 5 or 10 min stroll from Clark on the Blue CTA line the Riverside is located (as the name implies) on the riverside - when you walk out of the front door the view is a real wow....  its within walking distance everything downtown.  The location really is spot on.    Check in is supposedly carried out via terminals in the lobby, but one of the friendly folks went through it with us.  The Building is historic - with a genuine historic feel to it in the entranceway -  which could mean dated I guess  - but there is absolutley…"
14,susan,4,"Excellent location, comfortable stay","River Hotel is in an excellent location for downtown and all its attractions. Our room was quiet, clean and comfortable. We appreciated the free laundry, the gym and the club room for relaxing during the day. The only thing that could have been improved was the room decor which was dated and a bit gloomy. "
