Reviewer,Title,Review,Rating
arsw1,Warm hospitality,"I had a good experience staying in this hotel. The front desk staffs are helpful and willing to listen. Staff member Reena is patient and willing to go the extra mile to accomodate us. The hotel room is simple, sufficiently sized, and was clean. The breakfast spread is not much, but enough to get us going in the morning.",5
beatrice390,ARROGANT FRONT DESK ATTITUDE!,"As an old and loyal costumer , I feel lots of changes with the services especially front desk team performance. Before pandemic, all front desk staffs fill with friendly and warm attitude toward guests , but unfortunately after 1 year closing all those front desk staffs are gone and replaced with arrogant and unfriendly staffs. My kid accidentally made a hot chocolate from coffee machine and one of front desk staff ( Mr. Wang Wei ) told me with angry tone and face “ Could you tell your son that you have to pay first before he could make that hot chocolate ?” And could you ask your kid to move away from that coffee machine before you make payment ?” 🙄 Well, I think next time hotel should put price list beside that coffee machine so guests will understand. And, FIY if I",1
Lilian H,50-50,,3
richard o,"Poor,poor,poor","Early July we’ve stayed at this hotel on level 9, the room was impressive as the housekeeper was such a nice lady who really cleaned our room thoroughly, Back to Sg a month later and assigned to level 10th’s room was such a hell, the room’s carpet was so smelly and all the amenities were dated, including the pillows which were heavy used and smelly and worn towels.",1
Connor P,Sustainable and Stylish with great Service!,"Shockingly overpriced budget university lodging standard. No pool, limited gym without aircon. Rooms small but clean. Breakfast is poor quality food. The only 1 star positive is that the location is good. No rewards points for company 3rd party bookings. Very poor experience for a 28 night stay.",5
Adhika Hardhanu,My first great experience stayed at here,The Holiday Inn Express Orchard Gateway is a great place to stay in a prime location. I chose this hotel because of their sustainability efforts and free breakfast! Would highly recommend this to friends and other business travelers! The breakfast is buffet style (incredibly good - kudos to the chef!) and with my status at IHG I received a bonus welcome drink!,5
Rafiq Irfan,Good location and helpful staff,"The frontdesk Chester, Mika and also the manager Ms. Su so helpful The room is very good for me The meals so tasty I will come back in Singapore soon with my family and I will stay in Holiday Inn Express again I give 5 stars for the services overall.",4
fmoulsen,Thank you IHG EXPRESS Orchard,"Very convenient location where you can find food and cinema nearby. Also not too far from other hotspot locations in Singapore. Staff very helpful when you need some assistance. I have also accidentally left a valuable item upon checkout and the staff Mr Chester is very helpful in assisting me. However, I wish the breakfast can be served slightly earlier as the time I had to leave for work and the breakfast is at the same time.",5
Fau,"Inferior Product, Low Value for Money Hotel",I enjoyed my 10days stay at this hotel. Had small bumps on payment issue and the front desk staffs are really helpful and being so patience keeping up with me and my issues. 10/10 to the team esp. NAQIAH. Breakfast was good too. Chef Ram did well serving us a very good breakfast with various options to choose for.,1
Itravel0ne,Convenient and good stay,"The small sister from Holiday Inn did not look like the big sister at all. Quite disappointed to be honest. I dont even know why they got the SG Clean label whereas it was totally different than what i found. First impression was the room was dirty, the main switch light had blood splattered, got hair stuck in between towels, lipstick mark on the coffee mug, stain marks on the bed sheet, room was heavy with dust, and worst of all? Promise not kept. I rang the hotel before booking if the hotel is willing to put plywood board underneath the mattress (normally to give more support), the receptionist said YES. i put this condition in writing too at the time of booking, and when i checked in at the hotel, receptionist also said YES. I kept asking for it, after a week of keep",4
Mystery,Need to improve,,5
Elizabeth L,First hotel I have stayed at that I had to make my own bed,"The location is great and centrally located. Easy access to the malls and eateries along Orchard road. Room is well design as typical of the HIE. Staff are friendly and can’t fault any of the service except that the phone and safebox in the room was not working when we checked in. But it was fixed after it was reported. Breakfast is good and sufficient. Timing of breakfast is crucial as you may not find seats at certain hours. Overall, it was a great stay.",1
alexserapio,Hospitable Staff,"Stay there for staycation 3 day 2 nights. The check in was fast however the front desk never brief us in detail about the facilities. 1 of the day our room was not clean,when we call the frontdesk they say is 3 day once. I paid 1 night $200+ and the hotel clean every 3 day.The manangement need to change this procedure.",3
Sundari,Duty Manager Naqiah& Nabila staff is friendly and helpful.,Apparently due to covid housekeeping now only takes care of your room once every 3 days. We were told that we needed to ring reception to get on the housekeeping list so don't bother to hang the housekeeping required on the door. Very disappointing when you are an elderly couple No complaints about staff. Very helpful Breakfast was good but we will not be returning,1
Entrepreneur,"Brilliant hotel, great people and second home!",Very accommodating front desk staff-Mika and Gerald. Warm welcome from Sales-Ms. Su Han and Karen. Sumptuous Asian breakfast from Chef Ram and mainstay Wang. Very clean room and prompt service form housekeeping staff Kelly. I will definitely recommend this hotel to my friends and relatives.,5
Joel Cruz,Friendly & warm staff & you feel at home!,"im so happy i stay here with my family, Naqiah & Nabila staff is helpful and friendly, the breakfast was good and the enviroment clean and convient to mount elizabeth hospital and shopping malls. i would love to come again to stay.",5
Anras Tendean,Great Service & enjoyed my stay,"If there is one hotel which one can come close to calling home its HolidayInn Express Orchard Road ,SG! The leadership of the manager in charge SuHan is commendable and the team to back the execution. When it comes to guests there is nothing that cannot be solved, whether food, or a cab or just help in moving around. The location is simply the icing on the cake. Clean, Comfortable and Value for the experience!",4
BillyBrocha,Great service by Housekeeper Kelly,"Location of this hotel is perfect if you love to shop whether high end or not. Situated near Orchard road, walking distance to restaurants, shops, hospital, convenient stores. Staff are very accommodating to the extend that they offer free bottled water to guests. Free breakfast from 6:30-10:30am and you can have it take away if you wish. Unfortunately, there is no swimming pool, no bath tub in case that’s your requirement. I was not able to check if there is a fitness room. Over all, we enjoyed our stay in this hotel and all staff show their smile while entertaining us. We will definitely patronize this hotel again. Thank you so much Holiday Inn Express!",5
UpsidedownWonderer,Best Holiday Inn Express that I've Stayed In!,"Best service like family and feel like at home ,breaksfast good, good location and easy access to hospital and everywhere, Suhan and Gerald help lots good job, thanks lots. We will back to hotel soon cheers",1
Roam780091,Holiday Inn Staff,"Excellent service by Housekeeper Kelly , she made our stay stress free and memorable. Our room was in pristine condition everyday of our stay. She made sure that all the room essentials that we need are all available.",4
