Reviewer,Title,Review,Rating
Suzanne P,Happy in Singapore,The rooftop pool was a gift; such a relaxing amenity. Babba Chews restaurant was a delight- great crew there and really good breakfast selections! Front desk staff also outstanding. We had a small problem that they bent over backwards to try to ameliorate. Would stay here again.,5
Perry G,Great Place. Good Hosting,"I had a great time with the accomodation. I loved the hospitality, assistance, and care throughout the stay. Special shotout to Aeron our “kabayan” who gave us good service and go-to tips on how to enjoy our time in SG! Highly recommended!!",5
Jacky W,"Friendly staff , great location and good breakfast","Stayed a week at Hotel Indigo in Katong and I must say it was a pleasant experience. Staffs were friendly, courteous and helpful. Room is clean with city view. Location is great with plenty of dining options. WIll certainly return to stay with them again.",5
Thomas Seow,Best of the best,"Would like to thanks all Front Office team and Baba Chew’s team for the effort and dedication on my 2 nights stay and my ROM lunch at Baba Chew’s. We were always at ease and we had lots of fun. The food and accommodations are worthy of recommendation as well. Once again, thank you!",5
Ronen_IL,Great place to stay in,"I had some medical issues while staying in the hotel. The amazing staff was very helpful, supportive and calmed me down during this stressful event. Other than that, the hotel is simple and nice, very clean, large rooms, with a team that helps with almost any (weird) question you may have. Many good restaurants in the area. You must try the laksa place right across the street (I’ve been told by several locals it’s one of the best)",5
Nadine O,Wonderful hotel with wonderful staff,The hotel is really lovely and the rooms are so well designed. Absolutely well kept and clean. I love the small details like the notes they had placed to explain the choice of candies and other items. The staff are unbelievably welcoming and helpful with sincere and warm smiles as they greet you. We were fortunate enough to have been attended by Wilson who was exceptionally helpful with taking our photos (great photos btw!) as well as getting us a cab and being observant to his surroundings. Would definitely recommend this hotel to my family and friends for being such a lovely and unique hotel with great customer service!,5
Nizam,Weekend Escape,This is definitely a gem in the East which I never expected. Lobby and rooms are clean and nicely decorated and love their fine details and furnishings as well. A def Gram worthy hotel! Of course the stay never complete with the amazing service by the team. The front office team which we interacted mostly from the start to the end are all friendly and make us feel welcome. I can’t remember everyone who we interacted but shoutout to Dervin for a a seamless check in and a note for checking on us if we need anything during our stay since we opt out to have housekeeping with our DnD sign on. Easy checkout with Jia Hui and Wilson as well. Of course the various staffs that constantly greet us whenever we walked past the counter at the lobby. Will definitely find time to return as,5
Naresh Kumar,Sept 2022 Solo Staycation,,5
Singap0reTraveller,Culinary Staycay,"Had a solo staycation for 2 days 1 night in King Standard Heritage View With Bath Room. What Can I Say? My staycation was AMAZING! Yes, though I stayed in 2017, but I decided to do another staycation in this hotel since I am doing staycations very actively since 2020 due to covid (unable to travel). Kind of got addicted to staycations. Back to review - Lovely hotel & room with very nice peranakan infused interior decor. Small details like the cupboard, cups and saucers, tiles are very heavily peranakan inspired. Great view of Katong from my room as well, thankfully I got to stay on one of the highest floors. Had dinner at Baba Chew's as well. Very delicious and the staff hospitality was great as well! Breakfast was good too! Infinity Pool was stunning!!! I should say this",4
sudguy c,Awesome stay at the Indigo Hotel,,5
