Reviewer,Title,Review,Rating
nancyb8302016,Nice Hotel,"I stayed in a two bedroom, ocean front room and it was very large and lovely. The main complaints I have are that our ocean front view windows were FILTHY -- could not enjoy the view at all. (Bathroom floor was very dirty, too.) Part of the cleaning service between guests should include inside and outside cleaning of at least ocean view windows. They look like they hadn't been cleaned in months. Also, while sitting on the patio eating breakfast early one morning, the lawn service came around cutting and blowing and not caring that we were sitting there. We had to move our breakfast inside which was quite annoying.",4
snourous,Very Disappointing,"Location excellent. Provided complimentary soft drinks and water. That's the plus points out the way. Room and building smell terribly musty. The building is very tired and in desperate need of investment. We booked a deluxe room, there was NOTHING deluxe about our room. The bathroom was the tiniest we have ever seen, it's basically a closet with a shower, toilet and sink shoe horned in. If you are anywhere near 6 feet tall you'll hit your head on the wall if you attempt to sit on the toilet ! Bizarrely the Pantai provided bath salts, no idea why. The in room safe was rusty and didn't work. Reported it to the 'Manager' twice, who stated would be with us momentarily - he never showed, couldn't be bothered tending to his Customers I guess. We liked La Jolla and will return but to",1
Catalina G,Best customer service in La Jolla!!!,,5
Fran,Not what it’s cracked up to be,"First off, let me just start by saying Edwin the GM was extremely hospitable and accommodating! My family and I wanted to stay in very specific rooms since we have stayed here many times and know which ones we like. I don’t know how people have left reviews on here saying they didn’t receive house keeping!?! Anytime we needed anything, boom they were right there!! They provided beach equipment, which was a big deal since we traveled from AZ. They even had family games like Jenga and Monopoly! We will definitely keep coming back! Staying at The Pantai Inn has become a family tradition. I wish everyone could just stop and appreciate the history and beauty of that property! Yes they may be older buildings, but that’s part of what makes this place so special! Gregory Peck used",1
marebear-7,Paradise,,5
MIKE M,Summer at the beach,-No elevator- had to drag suitcases up 2 long flights of stairs. -Very limited Pantai inn parking that we pay for. -Iron with no board -No safe to store valuables -No closet in the room -Bathroom very small -Nightstand with lamp and no plug anywhere near to be plugged in. -The partial view was smushing your face against the window to get a sideways glimpse of the ocean. -This was a deluxe room -Asked for housekeeping and they never showed. We were the third complaint. -Breakfast included but was closed for 2 days. -Across the street from the ocean and the beach traffic was insane. -Heads up.. La Jolla is very hilly.,3
cnh5044,Stay somewhere else,"We were fortunate to have a room with a balcony facing the ocean. The room was spacious and the view was spectacular. Edwin the manager, was cheerful and so accommodating. From the cool drinks offered in the lobby to the great breakfast, we were treated very well. The hotel is close to many restaurants and beaches. Top notch!",1
Nector N,Excellent service,"This was my 3rd summer vacation at the Pantai Inn. The Inn has been through different owners recently. The new owner has raised the room rates comparable to several high quality hotels nearby. With the exception of some of the views and location of the rooms the property itself does not warrant the increased prices. New changes included daily parking rates, no pets permitted and no longer stays than 25 days. The showers need better drainage as they flood the bathroom. Pleasant staff for the most part. A breakfast has been added Thursday thru Sunday. Nice addition, but most rooms have a kitchen for making a quick cereal or egg meal. I suggest putting the money spent on the breakfast buffet towards improving the bathrooms with better drainage and shelving. DMMcGinley",5
Natascha T,Will never be back,"We were initially very excited to stay here because we loved the location. We decided to park our car (for an additional fee which was not explained prior to booking, they make it sound like parking is included). The next morning we came out to find damage to our car. The tire was damaged so badly we had to replace it. So after spending $720 to get repairs we contacted the hotel and asked if they had security footage for our insurance claim. They don’t have cameras by the parking. I then asked if they would be willing to refund my parking fee since parking with them cost me a lot of money but also an entire morning and afternoon of my vacation getting my car repaired so I could safely drive it. They declined and when I put my husband on to speak with the manager they hung up on",1
Chad and Susan D,Great weather and sea lions,,4
sherryze,Charming hotel but desperately understaffed,"Beautiful hotel right above LA Jolla's beachfront. . Although there was an issue with the air conditioning, the hotel supervisor did everything right to fix the issue, great service from everyone of the staff. Reccomend this hotel due to its location, atmosphere and service.",4
Asad_Traveler,Beautiful place!,"We paid $400 a night (without all the extra fees and parking) and our room was more than basic, and that's putting it kindly. I booked a room on a ""higher level"", which in this case meant, almost street level, but you had to go up a few stairs as the hotel is on a slope. I booked partial ocean view, and the hotel clerk showed the ocean to me by standing way back in the corner by the window and pointing somewhere outside. I literally had to laugh because it was so preposterous. Our bathroom was small but good and the nicest thing about the room were the Lather products. We had no room service during our two night stay, which nobody told us but I am sure was due to COVID (what isn't blamed on COVID)? It was VERY loud outside our room so we couldn't open the window, also our door",1
Ouida W,Great as always,,5
HSIU C W,gorgeous ocean view and desirable location,"Room 123 has great sunset. Enjoyed the complimentary Pantai coffee, water, beach towels and umbrella. Walked a mile to decent beach sand. Breakfast Thursday but not Wednesday. No fruit other than bananas. Great linens, mini fridge, microwave but no shower gel. Weather was awesome for patio and walking to shop and eat. Complementary parking and laundry. We are now fans of San Diego!",1
JanOct0810,Super clean and friendly spot to enjoy La Jolla,"I wasn't sure what to expect as the reviews are so mixed on this place. Let me preface by saying that they are understaffed. I called numerous times and emailed stay@pantai.com because I had questions prior to our stay, calls went unanswered, I never received a call back despite leaving voicemails, and email also went unanswered. Location could not be better, right across from Scripps Park and the beach. The seals/sea lions were only a 5 minute walk away. We spent 4th of July weekend here, in rooms 101 and 123. 101 is very spacious, but the bathroom is very small with no counter space. Beautiful bathroom design, poor execution. There is nothing to stop the water from soaking the entire bathroom floor when you shower. Full kitchen was well appointed with everything you could",5
Marc H,Lovely place,"After reading all the amazing reviews for the hotel, we had high expectations for Pantaii Inn. Amazingly, our expectations were exceeded on our trip! The hotel is located perfectly right next to the cove where you can witness sea lions and seals, exotic birds and so much other marine life. It’s also next to beach areas where you can enjoy the beautiful waters of La Jolla. The hotel itself is luxurious and clean. I am posting several photos which include exterior photos but also photos of our room — 121. This room was perfect for our family of 4 with a bedroom and a spacious sitting room as well. House keeping is available daily on request and the staff is attentive to any questions. Edwin and Tiffany were particularly so helpful. You can actually have the hotel do your",3
Getbusyliving,So much more potential,"As usual we had a delightful stay at Pantai Inn. This was our 5th time to stay there, and it is always such a unique experience. We like the small boutique hotel with more square footage and a kitchen in lieu of a 5-star luxury hotel with valet parking. We usually stay in a one bedroom with a porch/balcony overlooking the ocean. Some of the amenities this place has to offer include: relaxing chairs in lawn area with view of the Pacific Ocean, friendly and helpful staff, excellent service, fire pit for nightly visits with other guests, delicious breakfast buffet, and most of all LOCATION, LOCATION, LOCATION. You can walk to the grassy park and along the coastline every morning, walk downtown for shopping and have many choices of restaurants. The new owner and staff are",1
ALFreundl,Truly a wonderful and hidden gem!,"We had the largest two-bed room suite, room 101. Only issue is the window shade, I addressed to the general manager, Edwin. He contacted me he would take it as his priority to replace the defective blind. Pantai Inn is located at La Jolla Cove. We enjoyed the ocean breezing while seating at balcony. The breakfast was great with a few of hot choice and fresh fruit. Parking is $25 per vehicle. The kitchenette had an oversize refrigerator, burner cooktop, and microwave. Rooms are comfortable and we had a pleasant stay at Pantai Inn.",5
Karole D,Pantai Inn isn't what it used to be,This lovely little oasis has a friendly staff and an amazing location. The rooms were literally spotless... even down to the wine glasses. We loved staying here and would come again! We especially loved the courtyard and the cold waters and soft drinks.,1
Mell P,Great views and Customer service excellence!,"Exquisite décor, clean and cozy. We stayed for 4 nights and wished we could have stayed longer. The location is also excellent! Loved the fireplace and we used the full kitchen. The bathroom was also classy. Would stay there again in a heartbeat!",4
Toby M,A great place to escape!,"Can’t get much better of a location in La Jolla. If you have a view of the water it will be great. This Inn has so much potential but, sadly, has been neglected and is not being run very well today. There is clearly a need for repairs and updates around the property. We had the largest suite on property and it was average but has the potential to be spectacular. We received no housekeeping, nor notice that we wouldn’t, during our entire stay. When we asked if they had breakfast in the morning the front desk response was “sometimes”. Parking is extremely limited and tight, something to be aware of. I can’t say you will go wrong with this Inn given it’s location but beware that it’s in need of TLC and support staff.",4
mwhendley,Nice location but Beware,"Very helpful and accommodating staff! We had a better-than-expected view and a very large unit with a full kitchen. Great location and walking distance to everything you could want…..shops, restaurants, the beach (seals!). Tip: call ahead to see if early check in is available and parking may be a little tight, but it all will work out. Very quiet for sleeping and our only regret is that we couldn’t stay longer! Will definitely be back!",1
Julie P,Pantai Inn La Jolla,"This was our 5th time staying at the Pantai Inn. The last time we stayed was in Feb 2020 right before COVID squashed travelling. Since then the hotel has come under new management. No longer serving breakfast and no housekeeping. We stayed in room 204 which was our least favorite of the rooms we have stayed in. I can't blame that on them, it was all that was available when we booked. The bathroom, kitchen and bedroom are small and hard to navigate. The view is minimal and there is no balcony. Just know this rooms limitations if you book 204. The staff is nice and they do your laundry for free, just know it will be washed and dryed but not folded so you want to be available when it's delivered so you can fold it before it gets wrinkled, Not a complaint, we were very",5
Tigger H,Celebrating Birthday,"I stayed at this property for my birthday weekend celebration. From my very first contact with this property, the customer service I received was exceptional! I made a couple phone calls prior to arrival and each interaction was equally pleasant and accommodating. I received thorough information and all the relevant details to make the check-in and stay a seamless process. Edwin Z, the General Manager, was extremely helpful in providing excellent recommendations for activities that made my birthday celebration a complete success! From extra linens, to dining recommendations, the staff was always willing to fill our requests and provide helpful information. The property is in a perfect location and was clean and well kept. It made me feel like I was on an island getaway.",1
Cara,Great stay!,A great place to stay to end a busy week. The staff was great as was the room. We acted on the staff recommendations to eat at The Cottage for breakfast and Puesto for dinner. Both were excellent recommendations. An afternoon in the sunshine laying on provided beach towels was exactly what we needed. Checking in early wa not a problem and the open lobby was a great place to hang out.,5
L W,Edwin is the best!,"The Staff was pleasant and the outdoor sitting area was relaxing. Sleeping was not possible one night as the doors rattled from the wind. While the view was beautiful from the studio , there was barely room enough to move about. Beware, the final bill was never sent as stated and when it was requested, it did not match what was charged on the credit card. The manager was most unhelpful in resolving this issue,",3
Lane C,"$1 million view, not much else",This was our very first trip to La Jol!a and we found Pantai Inn through internet searches. We can't believe how lucky we are to have found such an amazing place for our first time here! The location is,1
