Reviewer,Title,Review,Rating
Disneydreamer22,loved it here,"Have just spent 4 comfortable days here.From check in by the fantastic Ronnie such a nice guy ,to a quiet room ,which i didn’t think was going to be as we were at the front where we could see right across and up the river. You could hear the traffic but it just sounds like the wind we were on the 8th floor the traffic did not keep me awake .I could hear a tv slightly at 4 in the morning but again it didn’t keep me awake . There are only 2 things i wasn’t keen on the bed was way too hard and there’s no on-site parking they only do valet parking on a fri/ sat then they take it to a parking lot that you yourselves do about 2 blocks over they do validate the tickets so they cost slightly less i would stay here again",5
Gurudesh,Great location,"Great location but do not expect good service. Seems management does not care. Checking and checkout was great. Staff provided everything that was requested. There was no utensils, cutlery in the room although we had kitchenette. No bath soap in the bathroom. No extra towels. Little disappointed by lack of attention.",3
hancouk,It’s ok but it’s average at best,"We have stayed in CQ Hotels before so we had an idea what to expect and hoped for as good an experience as in previous locations they operate. It wasn’t what we expected, partly to be blamed on the pandemic of course as the accommodations industry is likely still looking to recover from that , plus we are on the brink of recession (or it has started) The reception area focuses on self service and that’s ok. There is help for people who need it. Our room was small, quite cramped for $400 for two nights I think. We were on the 8th floor, in 808. There is no safe in the room, so think about that regarding valuables. The bedroom window was “frosted” and that helped with the fact that the view is of a wall lol We flew into the city and needed to iron a couple of shirts. There was",3
Tony C,River Hotel elevators are fine.,,5
emmahalpin2022,Beautiful building and hotel,"The reviews on the elevator being out at the River Hotel are incorrect. They do have an elevator out in the Club Quarters section of the building that has two hotels. I was concerned reading other reviews about having long waits to the room. So as of August 27, 2022 both are working for the River Hotel. Our Superior River view room is nice, outside of the view of the hideous view of the Trump building. Not to be missed is the 24 hour coffee machine on the second floor. I will say when we got back with our friends from dining and drinks last night the did seem to be a long queue of disgruntled guest waiting for the single Club Quarters elevator.",5
Mairi B,A bit disappointing,"We stayed for an anniversary trip and had a river view—which was breathtaking. The hotel staff were great, it was quiet and clean. Great experience overall. We were able to walk to many attractions and sites easily as well.",3
d g,Great location but that's about it,"We were in town scouting hotels with high school friends for an upcoming reunion, and let me first say that the customer service we encountered in Liz and Ronnie was amazing! The location of this hotel is perfect, close to the river walk and transportation, so we found it very easy to navigate from the hotel. We had a lovely view of the river from one of our windows out of our tiny room. The room however was super small and one had to side step at the bottom of the bed, or crawl over the bed in order to get to the other side. The bathroom was rather small as well, but everything worked and the water pressure was good. The biggest problem was the fact that there was only one working elevator to take guests up to floors 11-35. We heard that the other elevator had been ""out""",2
Sina,The worst stay ever,,1
Rob M,Parking will cost you.,"Pokey rooms, one working lift for 38 floors, ~15 minute queues for elevator. A lot of money for over filled lifts and an average at best stay. We had thought this would be a good candidate for our upcoming reunion. With no good way to get to and from the rooms, it clearly is not on the list.",3
Emmanuel R,Well located in the loop,"I booked this hotel through Booking.com. I filtered for 4-star hotels and this property showed up. However, when I got there, I realized that the hotel is 3-STAR. I contacted the property manager and he also confirm that the hotel is 3-star. Here is his reply ""We are actually a 3-star hotel, We are rated as a 4- star hotel due to guest reviews!"" The hotel room is old and dirty, with a tiny bathroom, no safe box in the room and they do not provide breakfast. The air conditioner was making a shrieking noise. So, be aware that the hotel is actually WORSE than a 3-star hotel. I contacted booking.com and they said they are not responsible for the star rating. Property managers also ignored my messages, and simply ruined my honeymoon. Please see the photo that I posted with this",4
Adam F,"Great Location, Decent Hotel",,5
rktrump,Will absolutely stay here again,"Price was fantastic. Room was basic. There was a pull out couch that turned into a bed. Great views from the front, but really no views from the back of the hotel. Parking is a pain. You have to walk a few blocks and pay $55 a night. Not the worst option, but keep in mind it is downtown. Staff was friendly and helpful.",3
Andrea L,Horrendous,"I went there for a business trip. The hotel is clean, ideally located in the loop along the river. Everything is reachable by walk. My room was a little bit too small with a small window. At that time the breakfast was served in the room but was quite good.",3
manuh620,Location is great,"The location of the hotel is perfect, easily within walking distance of public transportation for attractions and airport connection. The simple offerings of the hotel are just as advertised, however the elevators are confusing and a hassle. Only one of the elevators for Floors 12 and above was working during my stay, and this often meant 5 minute waits to go up or down Otherwise the stay was perfect and the view from the 30+ floors Is great",5
Me_n_my_rucksack,"Exactly what we wanted.... perfect location, clean comfortable and friendly hotel.","I would absolutely stay here again. I sprung for a room with a view of the river. That means I paid more for this hotel than I typically like to for a place where I just need to lay my head. But it turns out it was totally worth it. The view was downright amazing - and so peaceful to look at before heading to bed each night. My 9-year-old son particularly loved this routine. And, the location is great. I may have planned to be out all day, but with this awesome central location, I could pop by the hotel if I needed to in the middle of our adventures. Hardly needed the staff, to be honest. But the couple times I did need something (extra pillows and blankets), they came straight to my room. I read some other reviews that made me think the room would be tiny. It wasn't at",5
