,Customer_name,Rating,Review_Title,Review
0,ehj,3,Interesting Area,One of the best location in bugis area. I've been here 6x and i love staying this place. MRT and bus stop is few meters away from the hotel. Temples and night market is just outside the hotel once you steep out..
1,ulyssaelaine,4,Very good location and budget friendly hotel,"The location is very nice because it's just a walking distance from Bugis MRT. There are many eateries around the hotel, too.   The hotel accommodation already comes with a daily breakfast. You can choose either Continental or Vegetarian.   The triple room is bigger enough for us (family) considering it's a budget hotel.  The staffs are friendly, too.  The cons that I think of is the WiFi is very costly. How I wish the WiFi is free but nevertheless, the WiFi speed is quite good."
2,blokototerminous,3,"Basic, dated lodging in excellent location","This is my usual accommodation in Singapore because of its ideal location in Bugis on a pedestrian-only section of Waterloo St. and its budget pricing (for the location). But the hotel is a throwback to a different era and seems to be slowly fading. The pros: within easy walking distance of two MRT stations, Bugis Junction and other shopping centers, and a good  Albert hawker center. And I've walked to the National Museum, National Gallery, Singapore Art Museum, and National Library within 20 minutes. In the other direction, Little India and the Arab quarter are also within walking distance. Nearby bus lines will take you to Orchard Road or Chinatown.  The cons: the hotel dates from the 1950s and, despite some renovations and cleanliness, shows its age -- occasional plumbing,…"
3,darmaatmadjasyela,3,really worth it,"on dec 2016, i stayed at South East asia, i booked 1 triple room i think it's a worth it hotel , they have enough big room, toilet, air conditioning.  don't think you get a modern and newest room, but this hotel enough for me because the room are clean.  , the great location near from bugis street  &beside kuan im temple and many food around this hotel , the hotel gave us breakfast you can choose continental breakfast or oriental breakfast.  they don't give you free wi fi, you must pay for the wi fi connection"
4,cheddarclouds,1,"Bad Experience, Unfriendly Staff","I will never forget the time I stayed here with my sister. Why? Because it was terrible. Although they offered free breakfast--which has limited choices--I must say that the rooms were old. The staff were unfriendly. There was no WiFi.   And because of them, we missed our flight back to our country. On our last day, my sister used the kettle provided in the room to reheat her soup. When we checked out, they found out about it. They were so mad that they didn't allow us to leave until my sister washed the kettle. As we were in a hurry to leave for the airport and didn't want to argue with them, my sister agreed to wash the kettle. After she washed it, they looked at the kettle and asked her to wash it again. We told them we have a plane to catch but still they asked her to wash…"
5,Cassy B,3,"Budget friendly, great location","If you are looking for a cheap place to stay in the city with easy access to the train station, then this maybe a good option for you.  Surrounded by hawker places, also very near to the infamous Bugis shopping area.  Rooms are a little old and beds are just OK. But the price is very reasonable, you get what you pay for I guess. It comes with a vegetarian breakfast buffet. We booked a room for 3 people and room size is big enough.  They only accept cash, so make sure you are ready with that. And they don't have free wifi.  Overall, if you need a cheap place to stay then this maybe a good option for you."
6,Christopher Choo,3,Okay-ish stay,The price was decent and the location was great. However the hotel did not provide free WIFI and I had to buy coupons to use the WIFI and they were ungodly expensive. Breakfast was more or less okay but not satisfying due to the shortage of choice (very limited). The man at the counter was friendly though.
7,Serena W,4,Great Location,"We stayed at this hotel the second time, this time in a family room @$160SGD. We found the size of the family room = double room we stayed before. The staff were very friendly and efficient and room clean. However we noticed the aircond had a lot of dust on it. Daughter very sensitive to dust and had to give her antihistamine that night.  Easy access to vegetarian food & Bugis shopping.  Vegetarian breakfast was provided (either Continental or Western).  I think for the price, it is well worth it. But hope they can maybe clean up the aircond.  Bring your own slippers as the bathroom floor can be wet after someone showers."
8,morris w,4,A hidden gem in an excellent location at a very reasonable cost,Having been to Singapore previously I found Hotel costs in the main exceeded my budget   On my last visit I found this hotel as it backed onto where I was staying in Belconnen St   It is very small [about 3 stories] and was built in 1953 however extensive renovations have been made in the last few years and overall we found it acceptable and comfortable   A normal double room is $100 per night but we paid $120 per night for a larger room with sofa desk etc as weather was quite humid and the extra space was helpful when returning to the hotel [note no credit cards are accepted and room must be paid for daily in cash This caused us no concerns]   Our room had all things we needed [air conditioning ensuite etc]   The room was spotlessly clean a requirement of my wife  It was…
9,twofeathersSingapore,1,It's Very Hard To Like This Place,"I chose this place for its central location and convenience which turned out to be really inconvenient and leaves a lot to be desired. I moved in and out 3 times due to day trips out of Singapore. Each time there were challenges with luggages. There was inconsistencies. I was charged on 2 occasion and was not on one occasion. My stay consist of lots of asking of deposits and payments for my stays - All the time when I walked through front desk. It was trying but I tried to ignore them and get on with my stay. Rooms were outdated, dirty and dim. There is no blanket of any sort, just a sheet over your bed. Really cold in the middle of the night. I had to use a chair to manually off the air-con when it got too cold and vice versa.   Breakfast was nothing to look forward to. Its…"
