,Customer_name,Rating,Review_Title,Review
0,Johannes R,4,Easy stay,This hotel is easy and is in 10-15min walking distance either to Aljunied or Kallang station. So very close to the center and Marina bay. I can highly recommend Kampong Glam with the mosque and Haji lane.
1,Rosanne H,2,Hornbill hotel - not great,"We stayed here for 4 nights and our first time to Singapore. The price was in our budget and you pay for what you get. the hotel is very small and the rooms are very dated and shabby. could do with re painting and basic upgrading at least. Our room wasn’t veey clean and we had some creepy crawlies join us, particularly in rhe bathroom. the receptionists were friendly and helpful though and the location is OK ( 10 minute walk to nearest MRT station for city centre ) food and mini markets nearby."
2,Green Light,4,Always Looks at Other Reviews on Other Platforms,"Always re-reviews the reviews you read, refers also the photos submitted by user.   I booked the hotel through another platforms and my opinions for this hotel is REALLY AWESOME.  I think I'm one of the lucky costumers since my trouble is only met 2 tiny little cockroaches and 1 flies on the bed, then I just throw it off from the bed. As simple as that then they didn't appear again in my second night.   The hotel is walkable from Kallang MRT Station, about 15 minutes and really walkable to the 2 nearest bus stops (Opp Masjid Mohd Salleh, and one more).  "
3,Baaarmiin,2,I guess the other reviews made the point,"I think the other reviews already described most of the experience but i'll just add some more:  Pros: Near bus stops, a wide selection of hawkers and convenience stores Ok if you are not a picky guest, and just in for a short term stay Dirt cheap  Cons:  As the saying goes, what you pay for, what you get. It's an old hotel. The tv doesent work Only one power outlet out of 6 power outlets work, so you got to have a super fast charger to charge all your gadgets The cr door doesnt work. Yeah, bummer  If you are lookinf for class and luxury, stay away. But if you are just a happy back packer who just want an affordable bed and bath, this is for you."
4,Felipe K,1,Not at a good hotel at all,"The room we got for ourselves didn't look like what we saw on agoda, there was mold on the walls and cockroaches everywhere. We asked to cancel the room because we wanted to find something better, however, they suggested a change of room and we accepted. The new room was slightly better, however, cockroaches were still everywhere, and the conditioner would start making an incredible loud rattling noise out of nowhere in the middle of the night, so we had to turn it off and on again multiple times."
5,Alberto R,1,Cockroach infested!,"My stay was terrible. This place was cockroach infested. When I looked under the bed I noticed a few cockroaches, normally not too big a deal, this is after all a very warm climate and its understandable. But upon further inspection, I noticed that the bed side table was infested with them. At night they started coming out of the bathroom sink and shower. I was dumb enough to leave my laptop on the bedside table (before I noticed how bad it was) and I just saw another one crawl out of my laptop (this is the 5th) and I am back at home. Honestly, worse thing is that now I am scared as to what I brought back with me.   The room was a little dirty, my bedsheet had a couple of stains and one fresh one, that I managed to rub off, so maybe the sheets had not been washed?  The location…"
6,Sophie T,1,DO NOT BOOK HERE!,"This place is one of the worst hotels I have been too! Firstly we did our laundry, only to be told that someone has poured bleach on our clothes so about 6 items have been ruined and have had to go in the bin. We got compensated our $8 back but that’s it. They had bugs all over the room including the bed which was disgusting. There was also a sign in the lift saying they had pest control coming in the following day, so they know that that there is a problem with bugs throughout the hotel. There were pubic hairs in the bathroom and so much hair on the bed and blanket. We were in the room for about an hour in total before deciding we could not stay in this horrific place. For a budget room I still expect it to be clean, but this place was so far from. when checking out we told…"
7,Piotr S,1,I've never been in place like that,"If You don't want to have a diesese don't visit this place. Rooms are terrible. Dirt and mould is everywhare, We had a blood on the wall and wholes on the flor. The bed was covered with black hair. There was also an extreem stench. Compareing to another budget hotels in eighborhood this was the worst. Overal rate -1."
8,Subhendhu S,5,"For the amount they charge and the quality they provide, I feel its a best option to stay.","For the amount they charge, I feel its a best option to stay. Its actually best for those who came Singapore for tour and will be roaming whole day outside and just need a good comfortable, air conditioned, neat and clean small shelter just for night.  Pros :- Cost wise very budgeted. Friendly Staff. Good Privacy. You will get your room cleaned everyday with two glasses of water everyday. Locality is very good. Kallang MRT in walk able distance. Its the area where you get many 24 hours open restaurant, food court and other shops. You can keep luggage after check out if your flight is little late.  Cons :- Rooms are very neat and clean but slightly small in size (may be approx. 10 X 9 feet in size I think). So it may be slightly uncomfortable for some people as you cannot scatter…"
9,Bogdan O,2,Can't Recomend,"We where in this hotel only for 1 night and we randomly booked it without making any research,we found the hotel not so clean and everything looks very old.The rooms are very small. Location is ok around 15 minute walk to the metro and in the area there are shops and restaurants from what we seen."
10,Alberto R,1,Cockroach infested!,"My stay was terrible. This place was cockroach infested. When I looked under the bed I noticed a few cockroaches, normally not too big a deal, this is after all a very warm climate and its understandable. But upon further inspection, I noticed that the bed side table was infested with them. At night they started coming out of the bathroom sink and shower. I was dumb enough to leave my laptop on the bedside table (before I noticed how bad it was) and I just saw another one crawl out of my laptop (this is the 5th) and I am back at home. Honestly, worse thing is that now I am scared as to what I brought back with me.   The room was a little dirty, my bedsheet had a couple of stains and one fresh one, that I managed to rub off, so maybe the sheets had not been washed?  The location…"
11,Sophie T,1,DO NOT BOOK HERE!,"This place is one of the worst hotels I have been too! Firstly we did our laundry, only to be told that someone has poured bleach on our clothes so about 6 items have been ruined and have had to go in the bin. We got compensated our $8 back but that’s it. They had bugs all over the room including the bed which was disgusting. There was also a sign in the lift saying they had pest control coming in the following day, so they know that that there is a problem with bugs throughout the hotel. There were pubic hairs in the bathroom and so much hair on the bed and blanket. We were in the room for about an hour in total before deciding we could not stay in this horrific place. For a budget room I still expect it to be clean, but this place was so far from. when checking out we told…"
12,Piotr S,1,I've never been in place like that,"If You don't want to have a diesese don't visit this place. Rooms are terrible. Dirt and mould is everywhare, We had a blood on the wall and wholes on the flor. The bed was covered with black hair. There was also an extreem stench. Compareing to another budget hotels in eighborhood this was the worst. Overal rate -1."
13,Subhendhu S,5,"For the amount they charge and the quality they provide, I feel its a best option to stay.","For the amount they charge, I feel its a best option to stay. Its actually best for those who came Singapore for tour and will be roaming whole day outside and just need a good comfortable, air conditioned, neat and clean small shelter just for night.  Pros :- Cost wise very budgeted. Friendly Staff. Good Privacy. You will get your room cleaned everyday with two glasses of water everyday. Locality is very good. Kallang MRT in walk able distance. Its the area where you get many 24 hours open restaurant, food court and other shops. You can keep luggage after check out if your flight is little late.  Cons :- Rooms are very neat and clean but slightly small in size (may be approx. 10 X 9 feet in size I think). So it may be slightly uncomfortable for some people as you cannot scatter…"
14,Bogdan O,2,Can't Recomend,"We where in this hotel only for 1 night and we randomly booked it without making any research,we found the hotel not so clean and everything looks very old.The rooms are very small. Location is ok around 15 minute walk to the metro and in the area there are shops and restaurants from what we seen."
15,AngItimNaRosas,5,Simple yet comfy,"Singapore was a 18-hour stopover for my Maldives trip thru Scoot. Since it will arrive in SG at 1am but will fly out by 7:30pm, my friends and I wanted to catch up some sleep before our last leg of the trip.  When searching for affordable hotels, we came across this one. We're able to get double-bed room and costed us ~P1700/room, so its 800/pax. We got 2 separate rooms.  We arrived past 3am, since we ate first at the airport (we got so hungry), and was greeted by the  receptionist. Since my other friend bailed out on me, I had to stay on a different room by myself, on a different floor; mine's at the 4th and husband-wife tandem on the 3rd.   When I entered the room, i saw a flicker on the lights but it wont light up. I called the receptionist and he found that the bathroom…"
16,Stella Nguyen,1,So horrible,"Furnitures are old. Firstly, I did think it’s not too bad because the room is old but quite clean. But I did have to regret when I went out for a while then came back n saw there were so many small cockroaches running on my bed 😱😱😱 even though I still kept the light turning on. So horrible. There was only one good thing is friendly staff. But 100% I will never choose it again. "
17,Chong y,1,Dont even think about it,"For the sake of your health, please leave this hotel off your choice. The hotel was not ever once maintained at all. There literally COCKROACHES everywhere around your bed, especially under bed where you couldnt see but they would pop up crawling on your bed. Everything is dirty as hell and water marks are everywhere. I repeat: COCKROACHES ARE EVERYWHERE. The receptionist don't even bother and gave us a bottle of insect sprayer to settle and the second receptionist just casually node head and while we are complaining before literally leaving and rebooked another hotel. I guess the water leaking issue/noisy surronding wouldn't be worth mention at all. This is the hotel for escort only took have a small meeting , it's not even qualify as a basic hotel."
18,Antzgiler,4,Basic Hotel for Budget Travelers,"Basic but adequate, great for travelers who need to budget-travel but want the privacy of a single room instead of a hostel. In fact the price of a standard double room is cheaper than the price for 2 pax at even the cheapest hostel!  I stayed in the standard double room, they provided water, a kettle, cups, bath towels, basic toiletries, water heater, a TV...honestly that's all I need! Of cos there's also free WiFi. And you can rent a hair dryer for SGD 1!! it's so much easier than carrying a hair dryer around for light packers! Also their staff are friendly and helpful. all-in-all, if you are not overly fussy, and you need a good budget hotel at great prices, then do stay at Hornbill Hotel!"
19,Arielleeeee_c,4,Good budget hotel,"It's a really nice budget hotel if you need a place to rest. It provides simple amenities for you such as toothbrush, towels and shower cap.  The bed is okay, not of high quality and there are cable channels. However, there weren't good signals for some channels. There were lingering cigarette's smoke smell in the room. The cleanliness is mediocre but the good point is that the staffs are really friendly and helpful, especially the manager.   You can purchase discounted attraction tickets from their front desk. The location is very good if you're a supper person as there are many shops selling delicious and cheap food in the vicinity and they open throughout the night!"
