,Customer_name,Rating,Review_Title,Review
0,LyndseyLim,3,Great location and decor. Terrible service.,"Came to The Fullerton Hotel Singapore for a business conference. The location is convenient and decor is immaculate. Would love visit this location again.   However, the service staff can be quite unhelpful, preferring to tell you ""I don't know"" instead of giving some assistance - I was trying to find a charging port for work and one of their wall ports was not working. I tried look around the lobby and instead of directing my to any functioning ports, preferred to tell me that I am not allow to sit at this or that location. Not sure if this is the kind of service I would like to bring my clients to.  I think Pan Pacific would have been a better choice."
1,John L,5,"If you want the best hotel in Singapore, this is it","We have stayed at The Fullerton a number of times previously. Never disappointed. It is truly a fabulous hotel in every aspect. This time we stayed 9 days. Our room was very clean and comfortable with great views out over Marina Bay. The bathroom was spotless, had lots of space and amenities. Our room was on the same floor as the Straits Club, so access was easy.  Nicholas, Siti and the Team at the Straits Club were as usual proactive, attentive and extremely helpful. Food and drinks were high quality and very tempting. Ryan, Chia Yi, Crystal and Zep provided exceptional service. They made our stay most enjoyable.  We took the Fullerton Heritage Tour this time. Bill the tour guide was very knowledgeable. The tour brought back wonderful memories for us, as we used to post letters…"
2,Ridhwan A,5,Wonderful staycation!,"The holistic service provided by Fullerton hotel was nothing short of perfect. From the restaurant (Courtyard) to the in-room dining service, you could tell that their staff were trained very well as it’s reflected in the impeccable service provided to me during my short stay there.  Special mention to Lalikumar (pardon if the spelling is off) from the Courtyard. His attention to detail was highly commendable. Knowing that my family and I have certain dietary restriction, he went beyond his duty to cater to us by substituting the item in our high tea set.  All and all, thank you for the awesome stay and I look forward to another superb staycation at the Fullerton hotel, hopefully in the near future ☺️."
3,jfy18fa,5,The best honeymoon start,"What a stunning hotel! The staff couldn’t have done more to help us. Our room was beautiful and the bathroom was huge! Such a lovely touch being given a delicious cake to celebrate our honeymoon. The location is fantastic- walking distance to Fullerton bay and the embankment overlooking Marina Bay Sands. The breakfast was unbelievable- we had it once as it’s quite a hefty cost, but well worth it. If we return to Singapore (which we hope to do as we loved it), we will be sure to stay here."
4,Victoria,5,Fullerton Hotel,Lovely hi-tea set.  Live entertainment with wonderful harp performance with movie and Disney soundtracks  We were happy to be served by Mr Lalikumar.  The hi-tea were exquisite and delicious with variety of tea and coffee choices.
5,Vivien T,5,Fullerton Hotel,Lalikumar is of great service and friendly . Have a great day and enjoy ourselves here. Nice music and nice ambience. Good place to enjoy with friends and family. ........Thanks alot....................
6,Sylvi Mutiara,5,Best for everything.,"Stay in Quay Room at 7th floor. Beautifull view from balcony (but I have to climb the chair for the best view). We can see the two legendary bridges, Boat Quay, Asian Civilitation Museum, Parlement House, Raffles Statue, UOB tower etc.  Beautifull view from swimming pool. And thank you for Sall (pool guard) , you are a good man, give me some information about everything.   The food, cakes are very delicious. The lunch buffet was so great. I love it.  Thank you for give a slice cake for my husband (birthday slice cake).  I love the herritage walk tour. Thank you for Linda, you are the good herritage tour guide.  Will be back again for sure."
7,DTL,4,Great location and grand hotel,Stayed for 5 nights in a premier courtyard room. Room was refurbished. Bathroom was huge by Singapore hotel standards. I kept the curtains closed most of the time. I picked the Fullerton because I like hotels that have character. A lot of 5 star hotels in my opinion are soulless and the same. The location was fabulous for the things that interest me. Being so close to the Merlion and waterways was great. The train station is so close as well. The staff that stood out for me were the concierge and front door man. Sharing tips on quickest transportation routes etc. Breakfast was plentiful but I do wish it went to 11am instead of 10:30am. I like to sleep in on holidays. I was able to use facilities after check out such as showering which is extremely helpful when flights are late…
8,909LCWM,5,Fullerton Suite with family of four,We booked a 1 night weekday staycation at the Fullerton for our family of four. The hotel is beautifully presented and the lobby staff are helpful and friendly. Check in was quick and easy. We received a upgraded suite on arrival (we were not told it was an upgrade at the desk but from the website pictures it looked like the Fullerton Suite). The suite had an very big balcony and a view onto the river and partially onto the bay/mbs. The main bed is very comfortable and my kids slept well on the sofa bed and additional roll out.  The service at the straits club was excellent and i particularly want to commend Crystal and Ryan for their attentiveness and level of service. Tip for the club level: check-in is at 3pm but first seating for afternoon tea is 1:30-3pm so if you wanted to…
9,Stuart James G,5,Fantastic Hotel and Location.,"What a fantastic stay at The Fullerton,from arriving everyone made your welcome seem like you were of importance.location is superb,MRT for all places of interest and Boat Quay for food and drinks.Breakfast was superb and a great choice of food and service,room nice and airy,the toilet was very futuristic with all the gadgets.Would definitely recommend,and will always stay her when in Singapore."
